URL,QR Code Title (for reference)
http://siglo21myh.com/resources/images/pdfsqrs/totem4/FICHA%20TECNICA%20TOTAL%20MARTILLO%20DEMOLEDOR%20TH215456-4.pdf,FICHA TECNICA TOTAL MARTILLO DEMOLEDOR TH215456-4.pdf
http://siglo21myh.com/resources/images/pdfsqrs/totem4/FICHA%20TECNICA%20METABO%20MARTILLO%20DEMOLEDOR%20KHEV8-45BL.pdf,FICHA TECNICA METABO MARTILLO DEMOLEDOR KHEV8-45BL.pdf
http://siglo21myh.com/resources/images/pdfsqrs/totem4/FICHA%20TECNICA%20BOSCH%20ROTOMARTILLO%20GBH18V-36C.pdf,FICHA TECNICA BOSCH ROTOMARTILLO GBH18V-36C.pdf
http://siglo21myh.com/resources/images/pdfsqrs/totem4/FICHA%20TECNICA%20METABO%20MARTILLO%20DEMOLEDOR%20MHEV11BL.pdf,FICHA TECNICA METABO MARTILLO DEMOLEDOR MHEV11BL.pdf
http://siglo21myh.com/resources/images/pdfsqrs/totem4/FICHA%20TECNICA%20TOTAL%20MARTILLO%20DEMOLEDOR%20TH220502-4.pdf,FICHA TECNICA TOTAL MARTILLO DEMOLEDOR TH220502-4.pdf
http://siglo21myh.com/resources/images/pdfsqrs/totem4/FICHA%20TECNICA%20NIWA%20MARTILLO%20DEMOLEDOR%20MJNW-55.pdf,FICHA TECNICA NIWA MARTILLO DEMOLEDOR MJNW-55.pdf
http://siglo21myh.com/resources/images/pdfsqrs/totem4/FICHA%20TECNICA%20TOTAL%20MARTILLO%20DEMOLEDOR%20TH215002-4.pdf,FICHA TECNICA TOTAL MARTILLO DEMOLEDOR TH215002-4.pdf
http://siglo21myh.com/resources/images/pdfsqrs/totem4/FICHA%20TECNICA%20METABO%20MARTILLO%20DEMOLEDOR%20KH5-40.pdf,FICHA TECNICA METABO MARTILLO DEMOLEDOR KH5-40.pdf
http://siglo21myh.com/resources/images/pdfsqrs/totem4/FICHA%20TECNICA%20TOTAL%20MARTILLO%20DEMOLEDOR%20TH213006-4.pdf,FICHA TECNICA TOTAL MARTILLO DEMOLEDOR TH213006-4.pdf
